ball, prob, times since last drawn, expected difference between drawings, overdue?
12, 0.9727394710412377, 49, 14.3859649122807, True
21, 0.9538976852683277, 32, 11.232876712328768, True
52, 0.9495533681153216, 39, 13.898305084745763, True
38, 0.9395740501738452, 41, 15.471698113207546, True
5, 0.9298251048032249, 38, 15.185185185185185, True
3, 0.9088283366687369, 28, 12.615384615384615, True
65, 0.8943931061409186, 32, 15.185185185185185, True
17, 0.885302664983964, 28, 13.898305084745763, True
27, 0.8731391896735123, 24, 12.615384615384615, True
43, 0.8485371293545394, 29, 16.400000000000002, True
8, 0.8453784189754379, 24, 13.898305084745763, True
42, 0.8348923715912486, 24, 14.3859649122807, True
18, 0.8204735261181765, 22, 13.898305084745763, True
26, 0.8190811014294638, 30, 18.636363636363637, True
69, 0.8087596989659249, 17, 11.38888888888889, True
25, 0.7924432682498208, 23, 15.769230769230768, True
22, 0.7639548627193415, 18, 13.666666666666668, True
10, 0.7543805881014489, 16, 12.615384615384615, True
41, 0.7312956484501312, 16, 13.442622950819672, True
11, 0.7259161616006088, 18, 15.185185185185185, True
20, 0.7215694679669142, 14, 12.238805970149253, True
60, 0.7119950279987286, 18, 15.769230769230768, True
46, 0.7104800652467307, 20, 17.4468085106383, True
14, 0.7035197020972398, 15, 13.666666666666668, True
63, 0.6785601616003649, 11, 11.08108108108108, False
57, 0.6737413267255055, 14, 13.898305084745763, True
53, 0.6698170756742012, 12, 12.238805970149253, False
56, 0.6582328709727421, 12, 12.615384615384615, False
62, 0.6572567329819091, 11, 11.714285714285714, False
58, 0.6329521593268831, 14, 15.471698113207546, False
64, 0.6228663212893095, 11, 12.8125, False
39, 0.590292315123619, 9, 11.714285714285714, False
40, 0.5788770734121622, 10, 13.225806451612904, False
7, 0.5720883855845897, 11, 14.642857142857142, False
67, 0.5601760766488133, 10, 13.898305084745763, False
32, 0.5505095974673082, 7, 10.512820512820513, False
34, 0.5198885630747923, 12, 18.22222222222222, False
2, 0.51981212514736, 9, 14.13793103448276, False
1, 0.5070588636329152, 9, 14.642857142857142, False
15, 0.49534142264541614, 8, 13.666666666666668, False
30, 0.4439306579402954, 7, 14.13793103448276, False
48, 0.4201450912951352, 7, 15.185185185185185, False
29, 0.41406142231055265, 7, 15.471698113207546, False
19, 0.4070806406140274, 6, 13.898305084745763, False
37, 0.39557146253104936, 5, 12.424242424242424, False
33, 0.38588789402040724, 5, 12.8125, False
24, 0.34442235526559783, 6, 17.083333333333332, False
4, 0.33845484861609343, 6, 17.4468085106383, False
45, 0.3115791393316286, 4, 13.898305084745763, False
54, 0.3024851986018132, 4, 14.3859649122807, False
13, 0.2927667836998089, 5, 17.82608695652174, False
28, 0.29267997626126185, 3, 12.058823529411764, False
6, 0.2851252232230538, 3, 12.424242424242424, False
44, 0.26597357631935237, 3, 13.442622950819672, False
35, 0.26514335049259974, 4, 16.73469387755102, False
23, 0.23791415352359935, 2, 11.549295774647888, False
47, 0.21011101115770214, 2, 13.225806451612904, False
61, 0.18560380725758474, 1, 10.25, False
9, 0.1719994631534657, 2, 16.400000000000002, False
49, 0.16553073809143815, 2, 17.083333333333332, False
16, 0.1477558001189767, 1, 13.015873015873016, False
50, 0.13646044021415815, 1, 14.13793103448276, False
55, 0.13419244497323035, 1, 14.3859649122807, False
31, 0.12509071980963726, 1, 15.471698113207546, False
36, 0.08780487804878045, 0, 11.38888888888889, False
59, 0.08536585365853655, 0, 11.714285714285714, False
68, 0.07195121951219507, 0, 13.898305084745763, False
66, 0.06707317073170738, 0, 14.909090909090908, False
51, 0.06463414634146347, 0, 15.471698113207546, False
